CCTV,#genre#
CCTV1,http://222.85.69.6/PLTV/88888888/224/3221226977/index.m3u8?icpid=88888888&servicetype=1
CCTV1,http://222.85.69.6/PLTV/88888888/224/3221226980/index.m3u8?icpid=88888888&servicetype=1
CCTV1,http://222.85.69.6/PLTV/88888888/224/3221226985/index.m3u8?icpid=88888888&servicetype=1
CCTV1,http://222.85.69.6/PLTV/88888888/224/3221226987/index.m3u8?icpid=88888888&servicetype=1
CCTV1,http://222.85.69.6/PLTV/88888888/224/3221226988/index.m3u8?icpid=88888888&servicetype=1
CCTV1,http://222.85.69.6/PLTV/88888888/224/3221226990/index.m3u8?icpid=88888888&servicetype=1
CCTV1,http://222.85.69.6/PLTV/88888888/224/3221226993/index.m3u8?icpid=88888888&servicetype=1
CCTV1,http://222.85.69.6/PLTV/88888888/224/3221227002/index.m3u8?icpid=88888888&servicetype=1
CCTV1,http://222.85.69.6/PLTV/88888888/224/3221227005/index.m3u8?icpid=88888888&servicetype=1
CCTV1,http://222.85.69.6/PLTV/88888888/224/3221227015/index.m3u8?icpid=88888888&servicetype=1
CCTV1,http://222.85.69.6/PLTV/88888888/224/3221227018/index.m3u8?icpid=88888888&servicetype=1
CCTV1,http://222.85.69.6/PLTV/88888888/224/3221227071/index.m3u8?icpid=88888888&servicetype=1
CCTV1,http://222.85.69.6/PLTV/88888888/224/3221227079/index.m3u8?icpid=88888888&servicetype=1
CCTV1,http://222.85.69.6/PLTV/88888888/224/3221227279/index.m3u8?icpid=88888888&servicetype=1
CCTV2,http://222.85.69.6/PLTV/88888888/224/3221227049/index.m3u8?icpid=88888888&servicetype=1
CCTV3,http://222.85.69.6/PLTV/88888888/224/3221227053/index.m3u8?icpid=88888888&servicetype=1
CCTV4,http://222.85.69.6/PLTV/88888888/224/3221227050/index.m3u8?icpid=88888888&servicetype=1
CCTV5,http://222.85.69.6/PLTV/88888888/224/3221227047/index.m3u8?icpid=88888888&servicetype=1
CCTV6,http://222.85.69.6/PLTV/88888888/224/3221227046/index.m3u8?icpid=88888888&servicetype=1
CCTV7,http://222.85.69.6/PLTV/88888888/224/3221227084/index.m3u8?icpid=88888888&servicetype=1
CCTV8,http://222.85.69.6/PLTV/88888888/224/3221227081/index.m3u8?icpid=88888888&servicetype=1
CCTV9,http://222.85.69.6/PLTV/88888888/224/3221227078/index.m3u8?icpid=88888888&servicetype=1
CCTV10,http://222.85.69.6/PLTV/88888888/224/3221227043/index.m3u8?icpid=88888888&servicetype=1
CCTV11,http://222.85.69.6/PLTV/88888888/224/3221227040/index.m3u8?icpid=88888888&servicetype=1
CCTV12,http://222.85.69.6/PLTV/88888888/224/3221227044/index.m3u8?icpid=88888888&servicetype=1
CCTV13,http://222.85.69.6/PLTV/88888888/224/3221227041/index.m3u8?icpid=88888888&servicetype=1
CCTV14,http://222.85.69.6/PLTV/88888888/224/3221227038/index.m3u8?icpid=88888888&servicetype=1
CCTV15,http://222.85.69.6/PLTV/88888888/224/3221227037/index.m3u8?icpid=88888888&servicetype=1
CCTV17,http://222.85.69.6/PLTV/88888888/224/3221227072/index.m3u8?icpid=88888888&servicetype=1
CCTV5+,http://222.85.69.6/PLTV/88888888/224/3221227111/index.m3u8?icpid=88888888&servicetype=1
CCTV5+,http://222.85.69.6/PLTV/88888888/224/3221227220/index.m3u8?icpid=88888888&servicetype=1
CETV1,http://222.85.69.6/PLTV/88888888/224/3221227034/index.m3u8?icpid=88888888&servicetype=1
CGTN,http://222.85.69.6/PLTV/88888888/224/3221227075/index.m3u8?icpid=88888888&servicetype=1
卫视,#genre#
河南卫视,http://222.85.69.6/PLTV/88888888/224/3221226984/index.m3u8?icpid=88888888&servicetype=1
